headline,stock
Blue Dart Express Q2 Results Live: Profit Falls by 13.99% YOY,BLUEDART
"Q2 results: ONGC, Hyundai Motor, Glenmark Pharma, Grasim Industries among companies to declare earnings next week",BLUEDART
"Stock Market Live Updates: Sensex, Nifty trade flat amid mixed global cues; analysts eye fund flow as Q2 earnings season ends",BLUEDART
"Share Market Highlights November 11, 2024: Sensex, Nifty close flat amid unabated foreign fund outflows, muted earnings",BLUEDART
"Stock Market highlights: Sensex slides 820 points to 78,675, Nifty settles 257 points lower at 23,883",BLUEDART
"Tata Power Renewable Energy unveils 126 MW Omkareshwar floating solar project, sets new global standards",NHPC
India’s Adani Group Plans $10B Investment in American Energy,ADANIPOWER
Introducing the Just Asking Questions YouTube Channel,ADANIPOWER
Adani Power shares 3.53% as Nifty,ADANIPOWER
Adani Power shares 1.96 per cent in Thursday's trading session,ADANIPOWER
Dhaka says payments to Indian energy companies being done in a planned manner,ADANIPOWER
India had considered $2 bn loan to Hasina government to meet Bangladesh power dues,ADANIPOWER
Adani hosted 2019 talks but he wasn’t part of it: Sharad Pawar,ADANIPOWER
Gautam Adani has a new $5 billion business idea in mind,ADANIPOWER
"PM Modi, BJP, RSS working 24 hours to finish off Constitution: Rahul Gandhi",ADANIPOWER
"Sensex, Nifty close flat amid unabated foreign fund outflows, muted earnings",ADANIPOWER
Sri Lanka Leader Seeks to Bolster Power With Parliamentary Vote,ADANIPOWER
"All options, including exit, open for Siemens Gamesa India, says CEO",ADANIPOWER
"Stocks that will see action today: November 12, 2024",ADANIPOWER
Stock market update: Fertilisers stocks up as market falls,ADANIPOWER
"Share Market Highlights November 11, 2024: Sensex, Nifty close flat amid unabated foreign fund outflows, muted earnings",ADANIPOWER
"IPO-bound NTPC Green Energy targets investments worth ₹1 lakh crore in wind, solar assets by FY27",ADANIPOWER
Land for Vadhvan port to be reclaimed in 2 parts; Board clears proposal,ADANIPOWER
"Shapoorji Group in talks for Rs 8,000 crore raise via bonds",ADANIPOWER
"NTPC Green targets to invest Rs 1 lakh cr in solar, wind assets by FY27",ADANIPOWER
"Maharashtra Elections 2024 Highlights: Gautam Adani, the surprising focal point of Maharashtra’s election drama; Congress, BJP clash over governance issues",ADANIPOWER
No criminal conspiracy by ICICI Bank officials in NDTV loan repayment at reduced rates: CBI,ADANIPOWER
"Monday blues! Sensex, Nifty decline for 3rd straight session tracking weak earnings",ADANIPOWER
"Maharashtra Elections 2024 Live: Congress, BJP clash over governance issues, alleged land grabs, and project shifts ahead of elections",ADANIPOWER
"Sensex drops 110 pts, Nifty falls for 6th day on FII selling, inflationary concerns",ADANIPOWER
Stock Market Live Updates 14 November 2024: Sensex and Nifty recover after sharp fall; market uncertainty persists,ADANIPOWER
Stock Market Live Updates 14 November 2024: Stock to sell today: Marico (₹597.60),ADANIPOWER
"Stock Market highlights: Sensex slides 820 points to 78,675, Nifty settles 257 points lower at 23,883",ADANIPOWER
